iter	MultiClass
0	0.928346901
1	0.8042862299
2	0.7073470385
3	0.6303649227
4	0.5664022337
5	0.5129370761
6	0.4680333422
7	0.4295023797
8	0.3961648316
9	0.3675428501
10	0.3428824646
11	0.320878074
12	0.30134894
13	0.2842049153
14	0.2691218589
15	0.255749585
16	0.2438037357
17	0.2327901315
18	0.223499457
19	0.2151506362
20	0.2072179109
21	0.2002092181
22	0.1942270758
23	0.1885425593
24	0.1836733204
25	0.1791230904
26	0.1752017533
27	0.1714468689
28	0.1679598916
29	0.1649962436
30	0.1619823848
31	0.1597913438
32	0.1575728755
33	0.1550656325
34	0.1533472279
35	0.1513713128
36	0.1497442546
37	0.1477909689
38	0.1461267414
39	0.1446903139
40	0.143439768
41	0.1423372362
42	0.1411324953
43	0.1397302666
44	0.1390167326
45	0.1379744775
46	0.1368194637
47	0.1356901896
48	0.1349494346
49	0.1339470708
50	0.1332341972
51	0.1325372077
52	0.1321527858
53	0.1315873282
54	0.1308920813
55	0.1304287499
56	0.1299124252
57	0.1295789283
58	0.1289924044
59	0.1283614429
60	0.127848336
61	0.1275425899
62	0.1269079953
63	0.1265479644
64	0.1260549234
65	0.1252443963
66	0.1248421447
67	0.1245224571
68	0.1241880711
69	0.1236112227
70	0.1232945931
71	0.122958076
72	0.1225443703
73	0.1223157369
74	0.1219030959
75	0.1215727522
76	0.1211981162
77	0.121006114
78	0.1206319945
79	0.1201551415
80	0.1198369566
81	0.1195726533
82	0.1194132526
83	0.1192259023
84	0.1190232872
85	0.1185438782
86	0.1182909328
87	0.117753027
88	0.1175333037
89	0.1170783105
90	0.1168871271
91	0.1167207651
92	0.116595673
93	0.116466205
94	0.1162995667
95	0.116057281
96	0.1158669416
97	0.1156588807
98	0.1154610174
99	0.115268895
100	0.1150855052
101	0.1148616118
102	0.1147762492
103	0.114671628
104	0.1144804007
105	0.1141621996
106	0.1138876344
107	0.1137638546
108	0.1136717721
109	0.113594531
110	0.1134725582
111	0.1131414504
112	0.1130162789
113	0.1128707833
114	0.112704171
115	0.112592544
116	0.1124822828
117	0.112396185
118	0.1122562204
119	0.1120222117
120	0.1119505085
121	0.1118615603
122	0.111588749
123	0.1112633958
124	0.1111821609
125	0.1111002188
126	0.1109351859
127	0.110826776
128	0.1106672574
129	0.1104692458
130	0.1104048516
131	0.1103246501
132	0.1101087272
133	0.1099859343
134	0.109928194
135	0.1098487767
136	0.1097295054
137	0.1095374097
138	0.1094525772
139	0.10936507
140	0.1093050142
141	0.1092180481
142	0.109013154
143	0.1089516911
144	0.1088210774
145	0.1087266089
146	0.1085121491
147	0.1084006241
148	0.1082400159
149	0.1081799839
150	0.1080971712
151	0.1080323413
152	0.107982864
153	0.107788516
154	0.1077404849
155	0.1075360471
156	0.1074824966
157	0.1074105296
158	0.1073315597
159	0.1072576182
160	0.1071300765
161	0.1069604057
162	0.1068024981
163	0.1066838988
164	0.106565446
165	0.1064497079
166	0.1064041499
167	0.1063069532
168	0.1062076408
169	0.1060963157
170	0.1060031314
171	0.1059431234
172	0.1058343006
173	0.1057762948
174	0.1057289111
175	0.1056063848
176	0.105555423
177	0.105478584
178	0.1054236697
179	0.1053702323
180	0.1052729866
181	0.1052162613
182	0.1051172365
183	0.1050470465
184	0.1049293029
185	0.1047828082
186	0.1047366455
187	0.1046997352
188	0.1046419645
189	0.1045454889
190	0.1044595741
191	0.1043939932
192	0.1043219706
193	0.1042974407
194	0.1042199338
195	0.1041259527
196	0.1041044643
197	0.1040626936
198	0.1040215507
199	0.1039695076
200	0.1039054794
201	0.1037705553
202	0.1036816857
203	0.1035323374
204	0.1034148517
205	0.103318899
206	0.1032750572
207	0.103237069
208	0.1031867451
209	0.1031580579
210	0.1031145288
211	0.1029965853
212	0.1029433274
213	0.1028530462
214	0.1027328931
215	0.1026990949
216	0.1026660535
217	0.1026213684
218	0.1025014596
219	0.1024708218
220	0.1024025141
221	0.1022971092
222	0.102178813
223	0.1021357878
224	0.1020419206
225	0.1020156025
226	0.1019798048
227	0.1019312715
228	0.1019065522
